code,industry,year,yearly_open_cum,yearly_high_cum,code_name,volume,turn,isST,peTTM,pbMRQ
sh.603072,C39计算机、通信和其他电子设备制造业,2025,1.4778925762458692,11.763328551485003,天和磁材,14392508.09883721,22.15484534883721,0,88.20530033720931,7.588901488372093
sh.603124,C39计算机、通信和其他电子设备制造业,2025,5.05968306183797,10.788334256405868,江南新材,5797247.201612903,20.243547580645163,0,44.00614951612903,4.814919548387097
sh.603257,M74专业技术服务业,2025,1.4831590272483277,9.233819373159504,中国瑞林,5156368.276785715,21.132516964285713,0,41.37750252678571,3.3385865000000003
sh.688758,C26化学原料和化学制品制造业,2025,5.444616619330087,8.902887571652215,赛分科技,4070231.640718563,10.113655089820359,0,83.669169748503,6.033300616766467
sz.301535,C36汽车制造业,2025,4.776140242961585,8.549136879439462,浙江华远,12239292.56302521,20.432530252100843,0,72.74838089915967,7.981811974789917
sz.301602,C35专用设备制造业,2025,3.196954844606432,8.182879317969864,超研股份,7278883.786163522,13.10682704402516,0,77.21827436477987,10.558220830188679
sz.300204,C27医药制造业,2025,-0.9894918622780089,8.176438135202492,舒泰神,11746832.891344383,2.507713198281154,0,-23.129099181818184,4.537651942260442
sh.688411,C38电气机械和器材制造业,2025,2.4113281166362777,8.118728341208211,海博思创,2915675.2435897435,8.065535256410257,0,24.891783076923076,4.372217314102564
sh.688068,C27医药制造业,2025,-0.839449782471172,7.910815779653177,热景生物,2398228.527988943,5.6022391845196955,0,10.94412459197787,3.468560614799447
sz.300153,C38电气机械和器材制造业,2025,-0.19876935079029284,7.882487228074857,科泰电源,14383968.4315531,4.525326481276857,0,44.87836796375922,3.8108367966830468
sz.301357,C41其他制造业,2025,-1.4385020706873055,7.813122099549337,北方长龙,4169865.410034602,19.799470761245676,0,-339.5568428415673,4.417014090289609
sh.688519,C39计算机、通信和其他电子设备制造业,2025,0.05902025213082397,7.755931016448005,南亚新材,2380152.3379254458,2.363294651539708,0,27.375472506893757,3.026288621248986
sz.301396,I65软件和信息技术服务业,2025,-0.13704191563404794,7.728494914516685,宏景科技,5912034.56998557,13.62606911976912,0,82.13319863439305,4.504467658959538
sz.300436,C27医药制造业,2025,-0.3561373190921353,7.692334743427392,广生堂,4275437.361571516,3.2977424174340086,0,110.32785567690418,8.999227972972973
sh.688205,C39计算机、通信和其他电子设备制造业,2025,-0.2091767196208324,7.612315743531662,德科立,3460780.242384106,6.503649668874172,0,67.6812499801061,3.3620974270557027
sh.688313,C39计算机、通信和其他电子设备制造业,2025,-0.006993235475193134,7.575948417649284,仕佳光子,13425617.172497965,4.561252807160293,0,132.50347528617624,6.753837679870655
sz.001221,C33金属制品业,2025,1.5674442102331672,7.532452841604324,悍高集团,8971052.314285714,25.686877142857142,0,36.51083571428571,11.002593342857145
sz.300718,C34通用设备制造业,2025,-1.0436873657468586,7.488978253845071,长盛轴承,6745261.114794352,5.218207910374463,0,38.07073411363636,4.656515540540541
sz.301550,C36汽车制造业,2025,-0.5686335676432434,7.470855195459323,斯菱股份,5123525.981443299,12.518918762886598,0,46.572174884297524,5.041918128099174
sh.603716,F51批发业,2025,-0.4690156290572866,7.371653036504567,塞力医疗,10214077.03437692,5.386561329036218,0,12.970021141277641,2.053592676904177
sz.301389,C39计算机、通信和其他电子设备制造业,2025,0.0713807749589895,7.368629090524566,隆扬电子,7706648.841880342,9.769195299145299,0,54.23717965335236,3.1787849529243934
sz.301225,C36汽车制造业,2025,-0.4346668161759956,7.3335111863572635,恒勃股份,2902725.4817518247,10.838055474452554,0,34.17420451553931,3.236055950639854
sz.300548,C39计算机、通信和其他电子设备制造业,2025,-0.18568461933604738,7.320873544835321,长芯博创,10120953.620307691,5.4174392455384615,0,76.0575643458231,6.297946805896806
sz.300476,C39计算机、通信和其他电子设备制造业,2025,0.24785144940347825,7.26550505762353,胜宏科技,24434313.310006138,2.934967464702271,0,32.782954514742016,4.444319795454546
sz.300344,I65软件和信息技术服务业,2025,-0.9403732361638248,7.244871976978019,ST立方,23017806.905405406,4.6855294999999995,1,-146.72411301412777,8.460092003071253
sz.300723,C27医药制造业,2025,-0.4304332941146181,7.222954008970181,一品红,3812756.5813382445,2.3085747421731124,0,31.945737673218673,5.412891071253072
sz.300753,C35专用设备制造业,2025,-0.25023876207188717,7.208303889917354,爱朋医疗,4296415.847759361,7.186489658072437,0,21.48464310012285,3.924973962530713
sz.301458,C39计算机、通信和其他电子设备制造业,2025,2.497516525021009,7.206541404186005,钧崴电子,9006980.029940119,14.532293413173653,0,78.68468616167665,7.439104766467066
sh.688062,C27医药制造业,2025,0.23871337555802574,7.1803996581277385,迈威生物,5259306.393700788,3.153822272215973,0,-9.543923364864865,4.404437443693694
sz.300530,C38电气机械和器材制造业,2025,-1.2816867048619467,7.179511165013821,领湃科技,2629905.4398034397,2.101481961038961,1,-158.74619115110565,22.04091801842752
sh.688159,C39计算机、通信和其他电子设备制造业,2025,-0.03293458694861819,7.177341279351033,有方科技,2497267.517518248,4.339703138686131,0,50.89929750474799,4.036613893352812
sz.300766,I64互联网和相关服务,2025,-0.11495266952715566,7.163573968273218,每日互动,17234606.944796953,6.003252829314721,0,152.18603510349206,5.514270408253969
sh.688331,C27医药制造业,2025,-0.384772647568221,7.1432159919100755,荣昌生物,3519845.2695961995,3.0217526128266035,0,20.032270399524375,8.634032436385256
sz.300963,C32有色金属冶炼和压延加工业,2025,-0.7712228003788744,7.129975884605933,中洲特材,8395963.445783133,7.0052229842446705,0,49.16982811038961,3.9302738933209644
sh.688220,C39计算机、通信和其他电子设备制造业,2025,-0.011856606458752209,7.118836081843911,翱捷科技,3948501.8698092033,1.9847490460157127,0,-61.236393341573034,5.776210615730337
sh.688382,C27医药制造业,2025,-0.32125033276259113,7.1062073572149895,益方生物,7586390.283289817,3.0847403394255872,0,-31.49990419477124,5.75617802745098
sz.301392,C34通用设备制造业,2025,-0.5993830896367895,7.095318246662989,汇成真空,3778463.4476190475,15.702663492063492,0,118.63262745714287,12.70967606984127
sh.603119,C30非金属矿物制品业,2025,-0.2740750360400029,7.077230948358011,浙江荣泰,9467438.907335907,6.925700772200772,0,49.69554652224371,6.5823003675048355
sz.300953,C33金属制品业,2025,-0.1088774961062052,7.053853294960144,震裕科技,2408055.8144424134,5.097075045703839,0,87.14171305032022,5.006253970722781
sz.300591,C19皮革、毛皮、羽毛及其制品和制鞋业,2025,-0.06856196074959411,7.013870570733744,万里马,15380848.108655617,5.955761262124002,0,1031.9653644551597,4.766479114250614
sz.301413,C39计算机、通信和其他电子设备制造业,2025,-0.6013727682307597,7.0137101791966625,安培龙,3180021.1929411762,10.43123505882353,0,74.54564073647059,5.908420529411765
sz.300703,C24文教、工美、体育和娱乐用品制造业,2025,-0.13827470383304152,7.012676862076827,创源股份,6750543.115076923,4.578789428307692,0,37.950808891891896,2.8194476977886977
sz.300368,I65软件和信息技术服务业,2025,-0.5557446940449439,6.997134532416796,汇金股份,23380043.02642901,4.613809226740604,1,50.35447739250614,8.138365770884521
sz.300918,C17纺织业,2025,-0.011448288862684786,6.980155656146257,南山智尚,9015226.031304348,5.426582347826087,0,28.627320277632723,2.396688246301131
sh.688583,C40仪器仪表制造业,2025,1.8349392698487623,6.974241601339353,思看科技,1560622.268292683,10.983990243902438,0,62.23925282926829,9.143613054878049
